GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,44,0,0,0,13,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,32,0,2,0,12,0,6,0,5
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,85,115,0,4,11,27,2,10,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,172,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,28,0,0,0,8,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,0,8,0,0,0,3,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,10,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,12,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,159,0,0,0,8,0,44,0,44
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,169,0,0,0,9,0,46,0,46
spring-boot-skeleton,com.nnk.springboot.domain,User,0,72,0,0,0,21,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,57,0,0,0,9,0,14,0,14
